[34m[1mwandb[0m: [33mWARNING[0m Linked 1 file into the W&B run directory (hardlinks); call wandb.save again to sync new files.

[BEST MODEL SAVED] Avg100 Reward: 18.98

Episode:     0 | Reward:      18.98 | Avg100:      18.98
Episode 161, Reward: 5.1591263838396655
Episode 162, Reward: 18.690336690360557
Episode 163, Reward: 5.285573674215244
Episode 164, Reward: 5.112915797682586
Episode 165, Reward: 7.273889385256022
Episode 166, Reward: 5.9757904951417835
Episode 167, Reward: 7.04525972021195
Episode 168, Reward: 28.148261011991266
Episode 169, Reward: 6.04451558326342
Episode 170, Reward: 16.76699194208512
Episode 171, Reward: 14.566932319590936
Episode 172, Reward: 8.54941659430328
Episode 173, Reward: 7.645403080766138
Episode 174, Reward: 38.41325886118036
Episode 175, Reward: 3.785690915583388
Episode 176, Reward: 6.40089724438603
Episode 177, Reward: 8.633235364656512
Episode 178, Reward: 5.4472055438799964
Episode 179, Reward: 5.16609467395027
Episode 180, Reward: 14.721910190130234
Episode 181, Reward: 15.26951258496557
Episode 182, Reward: 9.765903944535754
Episode 183, Reward: 6.186362584902991
Episode 184, Reward: 7.183798409920783
Episode 185, Reward: 6.900781433464871
Episode 186, Reward: 6.012101291856844
Episode 187, Reward: 6.163119661384826
Episode 188, Reward: 9.503031558655628
Episode 189, Reward: 32.32550563339371
Episode 190, Reward: 4.791123562115454
Episode 191, Reward: 4.842262191169502
Episode 192, Reward: 28.169454888355748
Episode 193, Reward: 7.287417860688596
Episode 194, Reward: 30.482569770861303
Episode 195, Reward: 11.136370761967928
Episode 196, Reward: 6.178977079183988
Episode 197, Reward: 6.282216108874602
Episode 198, Reward: 6.63446483663163
Episode 199, Reward: 16.07097444995796
Episode 200, Reward: 5.472811968963963
Episode 201, Reward: 15.647824906687601
Episode 202, Reward: 5.371262017980867
Episode 203, Reward: 11.9779866415631
Episode 204, Reward: 5.053661053608721
Episode 205, Reward: 6.635483636914789
Episode 206, Reward: 3.6383870018766062
Episode 207, Reward: 7.121256310869626
Episode 208, Reward: 16.81458250268566
Episode 209, Reward: 5.57791327110812
Episode 210, Reward: 7.091259711913407
Episode 211, Reward: 6.425866581225062
Episode 212, Reward: 15.303438288455332
Episode 213, Reward: 5.23081327398801
Episode 214, Reward: 9.053679415004021
Episode 215, Reward: 6.782207741276204
Episode 216, Reward: 26.313184433519222
Episode 217, Reward: 14.622529515979462
Episode 218, Reward: 10.130073833863262
Episode 219, Reward: 13.694112099007386
Episode 220, Reward: 15.644022218911818
Episode 221, Reward: 10.475096193815762
Episode 222, Reward: 5.931401306463649
Episode 223, Reward: 6.841866939246738
Episode 224, Reward: 6.662864934303951
Episode 225, Reward: 8.302515163915414
Episode 226, Reward: 5.972429152293863
Episode 227, Reward: 12.06334937077472
Episode 228, Reward: 5.39252330960063
Episode 229, Reward: 10.4808469945965
Episode 230, Reward: 4.264544733414359
Episode 231, Reward: 14.756374812741
Episode 232, Reward: 5.9379658283079815
Episode 233, Reward: 16.30124387832099
Episode 234, Reward: 7.10209533368918
Episode 235, Reward: 7.003977445075575
Episode 236, Reward: 4.428733619705152
Episode 237, Reward: 6.288777505532354
Episode 238, Reward: 23.509916558423214
Episode 239, Reward: 7.559197970388921
Episode 240, Reward: 19.01256352434408
Episode 241, Reward: 23.02653611214846
Episode 242, Reward: 5.132590945984963
Episode 243, Reward: 7.662754785578361
Episode 244, Reward: 16.263183626920597
Episode 245, Reward: 7.134603683032379
Episode 246, Reward: 13.595648452599187
Episode 247, Reward: 6.828305443145178
Episode 248, Reward: 6.858830101978104
Episode 249, Reward: 6.174234244398575
Episode 250, Reward: 10.109131518572593
Episode 251, Reward: 5.094140536400716
Episode 252, Reward: 6.197856511038597
Episode 253, Reward: 10.349020499333466
Episode 254, Reward: 9.845293547141267
Episode 255, Reward: 11.421608602392261
Episode 256, Reward: 6.2749379649176245
Episode 257, Reward: 4.743371818452948
Episode 258, Reward: 11.582015503512578
Episode 259, Reward: 18.38654213062494
Episode 260, Reward: 6.2041155602942775
Episode 261, Reward: 4.676027178168643
Episode 262, Reward: 26.27996151048517
Episode 263, Reward: 6.38022569677433
Episode 264, Reward: 35.7651330435846
Episode 265, Reward: 15.45497036150988
Episode 266, Reward: 4.25582013867656
Episode 267, Reward: 3.97586908762562
Episode 268, Reward: 5.82320679827442
Episode 269, Reward: 6.50510584130957
Episode 270, Reward: 4.518697580199861
Episode 271, Reward: 7.96378461687307
Episode 272, Reward: 15.438806752888171
Episode 273, Reward: 7.315899092444455
Episode 274, Reward: 9.003535572204822
Episode 275, Reward: 16.495779832453135
Episode 276, Reward: 5.993214277141107
Episode 277, Reward: 9.584402360777869
Episode 278, Reward: 12.816444378247882
Episode 279, Reward: 14.681750670364236
Episode 280, Reward: 17.437293150018046
Episode 281, Reward: 4.604290032546429
Episode 282, Reward: 12.74731584031708
Episode 283, Reward: 5.455984023415603
Episode 284, Reward: 6.108250743308846
Episode 285, Reward: 29.08304051550311
Episode 286, Reward: 14.055918945329799
Episode 287, Reward: 2.5107276081916314
Episode 288, Reward: 16.140592220511532
Episode 289, Reward: 10.42100171186697
Episode 290, Reward: 15.034251150064028
Episode 291, Reward: 4.849091712777316
Episode 292, Reward: 4.907840086617741
Episode 293, Reward: 5.586204299999357
Episode 294, Reward: 42.88617181795155
Episode 295, Reward: 1.3651062750917895
Episode 296, Reward: 12.73684362234927
Episode 297, Reward: 7.583826531837085
Episode 298, Reward: 7.437746675012035
Episode 299, Reward: 6.547490812935869
Episode 300, Reward: 20.48225571298873
Episode 301, Reward: 31.442981178208957
Episode 302, Reward: -0.8507849843850405
Episode 303, Reward: 18.345256654341554
Episode 304, Reward: 13.034705269319627
Episode 305, Reward: 8.076576687445398
Episode 306, Reward: 6.7792739953929555
Episode 307, Reward: 6.949134015039582
Episode 308, Reward: 6.594944462048977
Episode 309, Reward: 32.09694940860783
Episode 310, Reward: 4.684785297508398
Episode 311, Reward: 8.443040171503288
Episode 312, Reward: 5.871276298384683
Episode 313, Reward: 10.053744354766549
Episode 314, Reward: 4.970841789102348
Episode 315, Reward: 20.45724523611257
Episode 316, Reward: 5.649996625145184
Episode 317, Reward: 5.596003280554875
Episode 318, Reward: 5.73342694701842
Episode 319, Reward: 6.444366585519495
Episode 320, Reward: 12.952663441960832
Episode 321, Reward: 14.955384228850253
Episode 322, Reward: 14.93848964679466
Episode 323, Reward: 7.4265104345158575
Episode 324, Reward: 8.348186918147379
Episode 325, Reward: 14.005197186646926
Episode 326, Reward: 4.875545370045376
Episode 327, Reward: 20.76435494376139
Episode 328, Reward: 7.626388471571463
Episode 329, Reward: 13.783548825528772
Episode 330, Reward: 5.672577722842934
Episode 331, Reward: 29.332120759642756
Episode 332, Reward: 7.783535801394404
Episode 333, Reward: 3.997176898681437
Episode 334, Reward: 10.193270893082792
Episode 335, Reward: 7.212141732095708
Episode 336, Reward: 4.297706984175918
Episode 337, Reward: 17.77919245490914
Episode 338, Reward: 7.353817446796457
Episode 339, Reward: 7.908997115821554
Episode 340, Reward: 4.275530105242019
Episode 341, Reward: 6.543932917978512
Episode 342, Reward: 14.19148837359102
Episode 343, Reward: 3.913343421196046
Episode 344, Reward: 5.763892001303994
Episode 345, Reward: 2.80557226912798
Episode 346, Reward: 6.493605706373802
Episode 347, Reward: 5.261076171199763
Episode 348, Reward: 18.501849916616372
Episode 349, Reward: 7.912404774285727
Episode 350, Reward: 5.2994571280313
Episode 351, Reward: 16.323868952362037
Episode 352, Reward: 12.457635010343756
Episode 353, Reward: 15.880788252779025
Episode 354, Reward: 35.85028795775602
Episode 355, Reward: 12.803262620521267
Episode 356, Reward: 5.879682479658478
Episode 357, Reward: 6.780407477441829
Episode 358, Reward: 10.267175826543063
Episode 359, Reward: 9.805825830377815
Episode 360, Reward: 8.755823652270108
Episode 361, Reward: 7.513538265925835
Episode 362, Reward: 9.91779129745682
Episode 363, Reward: 21.869419050613
Episode 364, Reward: 18.87548667977674
Episode 365, Reward: 6.212302461375674
Episode 366, Reward: 25.129129599179695
Episode 367, Reward: 26.093580083287545
Episode 368, Reward: 14.598088374402558
Episode 369, Reward: 7.978529723685561
Episode 370, Reward: 1.094243025021666
Episode 371, Reward: 6.661461413149352
Episode 372, Reward: 4.688620487277431
Episode 373, Reward: 6.418215302423498
Episode 374, Reward: -0.8372686579301849
Episode 375, Reward: 17.580563295667034
Episode 376, Reward: 4.422602607838778
Episode 377, Reward: 15.879700990647141
Episode 378, Reward: 42.16886489024456
Episode 379, Reward: 7.998348564325033
Episode 380, Reward: 7.185879827632595
Episode 381, Reward: 7.374741060384803
