[34m[1mwandb[0m: [33mWARNING[0m Linked 1 file into the W&B run directory (hardlinks); call wandb.save again to sync new files.

[BEST MODEL SAVED] Avg100 Reward: 1.63

Episode:     0 | Reward:       1.63 | Avg100:       1.63
Episode 141, Reward: 1.1932580692670682
Episode 142, Reward: 1.979579661247544
Episode 143, Reward: 2.06320351276373
Episode 144, Reward: 2.849991606838507
Episode 145, Reward: 2.002904440349403
Episode 146, Reward: 2.61400573427687
Episode 147, Reward: 1.847333222726491
Episode 148, Reward: 2.24014688697609
Episode 149, Reward: 1.9965148313465724
Episode 150, Reward: 2.133133959789375
Episode 151, Reward: 1.7767188575052169
Episode 152, Reward: 1.6367374425494563
Episode 153, Reward: 3.0280942449699073
Episode 154, Reward: 1.9004766163345554
Episode 155, Reward: 3.7993402963998566
Episode 156, Reward: 1.7686256504267055
Episode 157, Reward: 1.9728951420980012
Episode 158, Reward: 1.8215200276794663
Episode 159, Reward: 2.4213014435851536
Episode 160, Reward: 1.7573180503990593
Episode 161, Reward: 2.5884408762446562
Episode 162, Reward: 1.3648462740476381
Episode 163, Reward: 1.9669565381158416
Episode 164, Reward: 1.1095769387535972
Episode 165, Reward: 2.19718895142574
Episode 166, Reward: 1.8927496926337497
Episode 167, Reward: 1.840443481905181
Episode 168, Reward: 1.597035045500086
Episode 169, Reward: 1.2069209857975076
Episode 170, Reward: 2.264203658519293
Episode 171, Reward: 1.8143475019727424
Episode 172, Reward: 1.3929274131816387
Episode 173, Reward: 2.0129891853279784
Episode 174, Reward: 1.8203260838299968
Episode 175, Reward: 2.9898888691436074
Episode 176, Reward: 2.8024202971489744
Episode 177, Reward: 1.770877236188372
Episode 178, Reward: 1.8926014848867725
Episode 179, Reward: 1.7219496789843884
Episode 180, Reward: 1.8806575540464938
Episode 181, Reward: 2.4341219744699982
Episode 182, Reward: 2.0032348826242257
Episode 183, Reward: 1.8760274889809425
Episode 184, Reward: 1.9728972520417796
Episode 185, Reward: 1.8901770448663922
Episode 186, Reward: 1.98141791595036
Episode 187, Reward: 1.5851770601707973
Episode 188, Reward: 1.2779909248049335
Episode 189, Reward: 2.2244053815594866
Episode 190, Reward: 1.397508073652743
Episode 191, Reward: 3.055332450717713
Episode 192, Reward: 3.7069766959586863
Episode 193, Reward: 2.031732393611923
Episode 194, Reward: 2.0147945564535252
Episode 195, Reward: 4.105383448754451
Episode 196, Reward: 1.9539015299962665
Episode 197, Reward: 2.2684004505212236
Episode 198, Reward: 1.7581188707934228
Episode 199, Reward: 2.0104185326614226
Episode 200, Reward: 4.447771384500924
Episode 201, Reward: 3.5554233098462813
Episode 202, Reward: 1.8010508987225133
Episode 203, Reward: 2.2195464098380944
Episode 204, Reward: 1.606653974272047
Episode 205, Reward: 1.8783479432171857
Episode 206, Reward: 1.942863258291038
Episode 207, Reward: 2.9083156288761716
Episode 208, Reward: 3.169787254501351
Episode 209, Reward: 2.4062200424579117
Episode 210, Reward: 1.7046752105121112
Episode 211, Reward: 2.6463273101585787
Episode 212, Reward: 2.370129717582073
Episode 213, Reward: 2.007385034981855
Episode 214, Reward: 3.0353752194686283
Episode 215, Reward: 2.2086186919645563
Episode 216, Reward: 2.9345374898763903
Episode 217, Reward: 3.1007185422637824
Episode 218, Reward: 4.90478643747222
Episode 219, Reward: 4.1797199953954545
Episode 220, Reward: 2.2986611191523822
Episode 221, Reward: 1.238235087298395
Episode 222, Reward: 2.002397851186185

[BEST MODEL SAVED] Avg100 Reward: 2.20

Episode:   223 | Reward:       4.73 | Avg100:       2.20
Episode 223, Reward: 4.732224169394365
Episode 224, Reward: 2.9713477484763438
Episode 225, Reward: 2.0464655639326224

[BEST MODEL SAVED] Avg100 Reward: 2.21

Episode:   226 | Reward:       3.25 | Avg100:       2.21
Episode 226, Reward: 3.249786047147393

[BEST MODEL SAVED] Avg100 Reward: 2.21

Episode:   227 | Reward:       2.16 | Avg100:       2.21
Episode 227, Reward: 2.1626326878008557
Episode 228, Reward: 1.5719510961040895

[BEST MODEL SAVED] Avg100 Reward: 2.22

Episode:   229 | Reward:       2.10 | Avg100:       2.22
Episode 229, Reward: 2.099478876309312

[BEST MODEL SAVED] Avg100 Reward: 2.24

Episode:   230 | Reward:       3.39 | Avg100:       2.24
Episode 230, Reward: 3.390170570559392

[BEST MODEL SAVED] Avg100 Reward: 2.24

Episode:   231 | Reward:       2.11 | Avg100:       2.24
Episode 231, Reward: 2.109041414538317

[BEST MODEL SAVED] Avg100 Reward: 2.24

Episode:   232 | Reward:       1.90 | Avg100:       2.24
Episode 232, Reward: 1.9046522520299005

[BEST MODEL SAVED] Avg100 Reward: 2.25

Episode:   233 | Reward:       2.20 | Avg100:       2.25
Episode 233, Reward: 2.197717525209468
Episode 234, Reward: 1.704063443739196

[BEST MODEL SAVED] Avg100 Reward: 2.26

Episode:   235 | Reward:       3.38 | Avg100:       2.26
Episode 235, Reward: 3.3751418741199837
Episode 236, Reward: 2.136932686615211

[BEST MODEL SAVED] Avg100 Reward: 2.26

Episode:   237 | Reward:       1.87 | Avg100:       2.26
Episode 237, Reward: 1.8668695619690086

[BEST MODEL SAVED] Avg100 Reward: 2.27

Episode:   238 | Reward:       2.49 | Avg100:       2.27
Episode 238, Reward: 2.4896059737947467

[BEST MODEL SAVED] Avg100 Reward: 2.27

Episode:   239 | Reward:       2.12 | Avg100:       2.27
Episode 239, Reward: 2.122824227881006

[BEST MODEL SAVED] Avg100 Reward: 2.28

Episode:   240 | Reward:       2.39 | Avg100:       2.28
Episode 240, Reward: 2.392401089242858

[BEST MODEL SAVED] Avg100 Reward: 2.28

Episode:   241 | Reward:       1.45 | Avg100:       2.28
Episode 241, Reward: 1.4482506748078143

[BEST MODEL SAVED] Avg100 Reward: 2.29

Episode:   242 | Reward:       3.45 | Avg100:       2.29
Episode 242, Reward: 3.4463842059468606
Episode 243, Reward: 2.0070534850929924

[BEST MODEL SAVED] Avg100 Reward: 2.30

Episode:   244 | Reward:       3.21 | Avg100:       2.30
Episode 244, Reward: 3.2139240325336123
Episode 245, Reward: 1.7528671407905787
Episode 246, Reward: 2.768473262603376

[BEST MODEL SAVED] Avg100 Reward: 2.30

Episode:   247 | Reward:       2.10 | Avg100:       2.30
Episode 247, Reward: 2.1006474523305627

[BEST MODEL SAVED] Avg100 Reward: 2.31

Episode:   248 | Reward:       3.78 | Avg100:       2.31
Episode 248, Reward: 3.779437063431009

[BEST MODEL SAVED] Avg100 Reward: 2.32

Episode:   249 | Reward:       2.47 | Avg100:       2.32
Episode 249, Reward: 2.467908334805734
Episode 250, Reward: 2.003461702173157
Episode 251, Reward: 1.3574650744134635

[BEST MODEL SAVED] Avg100 Reward: 2.34

Episode:   252 | Reward:       4.17 | Avg100:       2.34
Episode 252, Reward: 4.165056026628789
Episode 253, Reward: 2.272890941722123
Episode 254, Reward: 2.007846388162332
Episode 255, Reward: 2.0591861042399926

[BEST MODEL SAVED] Avg100 Reward: 2.35

Episode:   256 | Reward:       4.93 | Avg100:       2.35
Episode 256, Reward: 4.931697101360216
Episode 257, Reward: 1.9721130317930282

[BEST MODEL SAVED] Avg100 Reward: 2.35

Episode:   258 | Reward:       2.39 | Avg100:       2.35
Episode 258, Reward: 2.393469116078295
Episode 259, Reward: 1.9512271490818787
Episode 260, Reward: 1.9531104393540692
Episode 261, Reward: 2.0452252391613137
Episode 262, Reward: 2.174378569747508

[BEST MODEL SAVED] Avg100 Reward: 2.36

Episode:   263 | Reward:       2.97 | Avg100:       2.36
Episode 263, Reward: 2.9746812410219476

[BEST MODEL SAVED] Avg100 Reward: 2.37

Episode:   264 | Reward:       2.47 | Avg100:       2.37
Episode 264, Reward: 2.4675307337412926
Episode 265, Reward: 1.9822445193101932

[BEST MODEL SAVED] Avg100 Reward: 2.39

Episode:   266 | Reward:       3.36 | Avg100:       2.39
Episode 266, Reward: 3.360590567961727

[BEST MODEL SAVED] Avg100 Reward: 2.39

Episode:   267 | Reward:       2.24 | Avg100:       2.39
Episode 267, Reward: 2.2426177453819434

[BEST MODEL SAVED] Avg100 Reward: 2.40

Episode:   268 | Reward:       2.53 | Avg100:       2.40
Episode 268, Reward: 2.53261243763829

[BEST MODEL SAVED] Avg100 Reward: 2.41

Episode:   269 | Reward:       2.14 | Avg100:       2.41
Episode 269, Reward: 2.143206367557069

[BEST MODEL SAVED] Avg100 Reward: 2.41

Episode:   270 | Reward:       2.59 | Avg100:       2.41
Episode 270, Reward: 2.5948554823149035

[BEST MODEL SAVED] Avg100 Reward: 2.42

Episode:   271 | Reward:       2.34 | Avg100:       2.42
Episode 271, Reward: 2.341089618803818

[BEST MODEL SAVED] Avg100 Reward: 2.45

Episode:   272 | Reward:       4.26 | Avg100:       2.45
Episode 272, Reward: 4.262694859629104

[BEST MODEL SAVED] Avg100 Reward: 2.45

Episode:   273 | Reward:       2.23 | Avg100:       2.45
Episode 273, Reward: 2.2279939376274642

[BEST MODEL SAVED] Avg100 Reward: 2.47

Episode:   274 | Reward:       3.74 | Avg100:       2.47
Episode 274, Reward: 3.7397523859422153
Episode 275, Reward: 2.155197502196492
Episode 276, Reward: 3.212289348639143

[BEST MODEL SAVED] Avg100 Reward: 2.50

Episode:   277 | Reward:       4.89 | Avg100:       2.50
Episode 277, Reward: 4.8915703123827505

