[34m[1mwandb[0m: [33mWARNING[0m Linked 1 file into the W&B run directory (hardlinks); call wandb.save again to sync new files.

[BEST MODEL SAVED] Avg100 Reward: 16.44

Episode:     0 | Reward:      16.44 | Avg100:      16.44
Episode 161, Reward: 6.3564514988182745
Episode 162, Reward: 12.638481215010033
Episode 163, Reward: 7.722355254422384
Episode 164, Reward: 8.105432488197504
Episode 165, Reward: 7.019091035671883
Episode 166, Reward: 48.34043649701758
Episode 167, Reward: 21.97527787977458
Episode 168, Reward: 9.063072161444
Episode 169, Reward: 15.261556318000544
Episode 170, Reward: 19.12792759086876
Episode 171, Reward: 7.3198355902770595
Episode 172, Reward: 7.9238141007909935
Episode 173, Reward: 10.39531301095539
Episode 174, Reward: 16.415884665555385
Episode 175, Reward: 29.11867756308734
Episode 176, Reward: 6.892653980814272
Episode 177, Reward: 6.479489479611818
Episode 178, Reward: 6.098993591724554
Episode 179, Reward: 17.241839760339136
Episode 180, Reward: 14.705388119814915
Episode 181, Reward: 7.51532120322342
Episode 182, Reward: 10.163764807366904
Episode 183, Reward: 15.13380693423999
Episode 184, Reward: 8.2642537707486
Episode 185, Reward: 3.972680336783783
Episode 186, Reward: 5.309306674158364
Episode 187, Reward: 13.137395662765076
Episode 188, Reward: 18.072785679217517
Episode 189, Reward: 7.210125199776119
Episode 190, Reward: 10.052564063763507
Episode 191, Reward: 7.216151645992933
Episode 192, Reward: 7.709834717392708
Episode 193, Reward: 11.004839059889301
Episode 194, Reward: 30.1362219989163
Episode 195, Reward: 7.434090746769777
Episode 196, Reward: 7.171982967562171
Episode 197, Reward: 8.452951728947754
Episode 198, Reward: 9.329538689174862
Episode 199, Reward: 11.045220055138042
Episode 200, Reward: 21.95315368377735
Episode 201, Reward: 20.829145841388996
Episode 202, Reward: 8.058493634250501
Episode 203, Reward: 7.938621196697237
Episode 204, Reward: 5.502517588065928
Episode 205, Reward: 3.974183760187635
Episode 206, Reward: 8.456679213189112
Episode 207, Reward: 5.86195584431635
Episode 208, Reward: 9.421225727390707
Episode 209, Reward: 9.24377451350417
Episode 210, Reward: 7.098536929780954
Episode 211, Reward: 14.491935672577565
Episode 212, Reward: 7.562974864311254
Episode 213, Reward: 20.14527215930905
Episode 214, Reward: 18.276014282355824
Episode 215, Reward: 7.007264435557176
Episode 216, Reward: 15.163605504627736
Episode 217, Reward: 11.571646808490847
Episode 218, Reward: 15.145078136184235
Episode 219, Reward: 4.609643381951345
Episode 220, Reward: 6.271646517090635
Episode 221, Reward: 8.495924800137109
Episode 222, Reward: 7.688114710763831
Episode 223, Reward: 15.583134241323906
Episode 224, Reward: 6.8759346436867625
Episode 225, Reward: 15.18769255638282
Episode 226, Reward: 6.954113474874849
Episode 227, Reward: 13.094618611478296
Episode 228, Reward: 17.368224685044147
Episode 229, Reward: 8.307565932137946
Episode 230, Reward: 13.142424667427182
Episode 231, Reward: 6.248710459818794
Episode 232, Reward: 8.887261500660053
Episode 233, Reward: 10.191998844627271
Episode 234, Reward: 0.36901301531404385
Episode 235, Reward: 8.137724631316214
Episode 236, Reward: 15.001935023229262
Episode 237, Reward: 11.251994278677996
Episode 238, Reward: 14.784888328080966
Episode 239, Reward: 7.182639606252691
Episode 240, Reward: 7.144635110228368
Episode 241, Reward: 12.196624806003571
Episode 242, Reward: 7.869342940019305
Episode 243, Reward: 7.532673609307274
Episode 244, Reward: 24.363352323941683
Episode 245, Reward: 6.413880685838957
Episode 246, Reward: 6.055351529982414
Episode 247, Reward: 6.0085250624375615
Episode 248, Reward: 11.13384391584093
Episode 249, Reward: 11.482872856849063
Episode 250, Reward: 4.313761905149948
Episode 251, Reward: 9.265706974851152
Episode 252, Reward: 8.000726521536832
Episode 253, Reward: 6.617021157526415
Episode 254, Reward: 9.334628052991363
Episode 255, Reward: 8.074799191055437
Episode 256, Reward: 8.140366334589139
Episode 257, Reward: 7.49215391352195
Episode 258, Reward: 8.684027807168063
Episode 259, Reward: 8.800673455250463
Episode 260, Reward: 10.950371308869471
Episode 261, Reward: 16.20203971519102
Episode 262, Reward: 9.210909264757403
Episode 263, Reward: 22.635573321842216
Episode 264, Reward: 14.973183835214538
Episode 265, Reward: 3.9734874287064246
Episode 266, Reward: 6.970624397648343
Episode 267, Reward: 5.516535525395262
Episode 268, Reward: 14.259056292534021
