[34m[1mwandb[0m: [33mWARNING[0m Linked 1 file into the W&B run directory (hardlinks); call wandb.save again to sync new files.

[BEST MODEL SAVED] Avg100 Reward: 4.61

Episode:     0 | Reward:       4.61 | Avg100:       4.61
Episode 159, Reward: 3.7100212977711964
Episode 160, Reward: 4.02076545984856
Episode 161, Reward: 2.636648484788039
Episode 162, Reward: 2.664604995787925
Episode 163, Reward: 3.6216115621648224
Episode 164, Reward: 4.701812174758983
Episode 165, Reward: 3.4292194552634796
Episode 166, Reward: 3.331104507836745
Episode 167, Reward: 4.874903210291768
Episode 168, Reward: 3.7059439798878113
Episode 169, Reward: 4.024220518279767
Episode 170, Reward: 4.312915259733567
Episode 171, Reward: 4.32564917332495
Episode 172, Reward: 3.3436475397789143
Episode 173, Reward: 4.061075904767625
Episode 174, Reward: 2.5965579210545178
Episode 175, Reward: 4.442568958873218
Episode 176, Reward: 3.8328201101020523
Episode 177, Reward: 4.184943828139057
Episode 178, Reward: 3.609125061460448
Episode 179, Reward: 4.769085350995898
Episode 180, Reward: 4.375857676679499
Episode 181, Reward: 4.206707122071634
Episode 182, Reward: 3.032173491520026
Episode 183, Reward: 3.617665410585353
Episode 184, Reward: 4.374406662721961
Episode 185, Reward: 4.158827234610466
Episode 186, Reward: 4.315862081189545
Episode 187, Reward: 4.141928117919004
Episode 188, Reward: 3.552477661756452
Episode 189, Reward: 2.95227637456438
Episode 190, Reward: 3.227878166297074
Episode 191, Reward: 3.955274375157427
Episode 192, Reward: 4.195383409895125
Episode 193, Reward: 3.653071458804126
Episode 194, Reward: 4.003930385109495
Episode 195, Reward: 5.1783261794826405
Episode 196, Reward: 3.4240812046687914
Episode 197, Reward: 4.588849487471212
Episode 198, Reward: 3.2498313351531345
Episode 199, Reward: 3.813354095437867
Episode 200, Reward: 4.541307434892601
Episode 201, Reward: 3.9067537164519326
Episode 202, Reward: 4.066673780671943
Episode 203, Reward: 4.379847362773587
Episode 204, Reward: 4.284619620044978
Episode 205, Reward: 4.389187665869506
Episode 206, Reward: 4.2254407256474575
Episode 207, Reward: 3.154249705565257
Episode 208, Reward: 4.641413324568956
Episode 209, Reward: 4.516525957632735
Episode 210, Reward: 4.659996589998348
Episode 211, Reward: 4.4964467750147
Episode 212, Reward: 3.6022547689377564
Episode 213, Reward: 4.105571043823481
Episode 214, Reward: 3.9057767944222004
Episode 215, Reward: 4.572878135004071
Episode 216, Reward: 2.904559277740861
Episode 217, Reward: 4.040441538357325
Episode 218, Reward: 4.411963746631586
Episode 219, Reward: 4.591972279072347
Episode 220, Reward: 3.3302110299977343
